x,P,Q
0.0,0.0199738534004234,0.002
0.02004008016032064,0.019577559916453404,0.002
0.04008016032064128,0.01918912913790578,0.002
0.06012024048096192,0.018808405063889616,0.002
0.08016032064128256,0.018435234788667227,0.002
0.1002004008016032,0.018069468440244398,0.002
0.12024048096192384,0.01771095912017907,0.002
0.1402805611222445,0.01735956284458424,0.002
0.16032064128256512,0.0170151384863014,0.002
0.18036072144288576,0.016677547718221303,0.002
0.2004008016032064,0.016346654957729245,0.002
0.22044088176352705,0.016022327312252654,0.002
0.24048096192384769,0.015704434525888978,0.002
0.2605210420841683,0.01539284892709254,0.002
0.280561122244489,0.015087445377399322,0.002
0.3006012024048096,0.014788101221169069,0.002
0.32064128256513025,0.014494696236324541,0.002
0.3406813627254509,0.01420711258606815,0.002
0.3607214428857715,0.013925234771556529,0.002
0.3807615230460922,0.013648949585514098,0.002
0.4008016032064128,0.013378146066766957,0.002
0.42084168336673344,0.013112715455678855,0.002
0.4408817635270541,0.012852551150471328,0.002
0.4609218436873747,0.012597548664410483,0.002
0.48096192384769537,0.012347605583843218,0.002
0.501002004008016,0.012102621527066029,0.002
0.5210420841683366,0.011862498104009887,0.002
0.5410821643286573,0.011627138876724988,0.002
0.561122244488978,0.01139644932064951,0.002
0.5811623246492986,0.01117033678664684,0.002
0.6012024048096192,0.010948710463795953,0.002
0.6212424849699398,0.010731481342920138,0.002
0.6412825651302605,0.010518562180839242,0.002
0.6613226452905812,0.010309867465331244,0.002
0.6813627254509018,0.01010531338078898,0.002
0.7014028056112224,0.00990481777455826,0.002
0.721442885771543,0.009708300123943862,0.002
0.7414829659318637,0.009515681503870157,0.002
0.7615230460921844,0.00932688455518335,0.002
0.781563126252505,0.009141833453582635,0.002
0.8016032064128256,0.00896045387916777,0.002
0.8216432865731462,0.008782672986590849,0.002
0.8416833667334669,0.008608419375800282,0.002
0.8617234468937875,0.008437623063365228,0.002
0.8817635270541082,0.008270215454368974,0.002
0.9018036072144289,0.008106129314859965,0.002
0.9218436873747494,0.00794529874484942,0.002
0.9418837675350701,0.007787659151844695,0.002
0.9619238476953907,0.007633147224907756,0.002
0.9819639278557114,0.007481700909228357,0.002
1.002004008016032,0.0073332593812016865,0.002
1.0220440881763526,0.007187763024000504,0.002
1.0420841683366733,0.007045153403631933,0.002
1.062124248496994,0.006905373245469304,0.002
1.0821643286573146,0.006768366411249613,0.002
1.1022044088176353,0.006634077876527378,0.002
1.122244488977956,0.006502453708575812,0.002
1.1422845691382766,0.006373441044726457,0.002
1.1623246492985972,0.006246988071138573,0.002
1.1823647294589177,0.006123044001989754,0.002
1.2024048096192383,0.0060015590590794055,0.002
1.222444889779559,0.005882484451836928,0.002
1.2424849699398797,0.005765772357726516,0.002
